Bella;3;80;Noir;Femelle;true;Chien amical et joueur qui adore les promenades;https://www.blogwoufwouf.com/wp-content/uploads/2020/05/%C2%A9Noemie-.jpg
Max;5;41;Marron;Mâle;true;Chien loyal et protecteur qui aime les enfants;https://www.goodbro.fr/wp-content/uploads/Cocker-Spaniel-Anglais--768x536.jpg.webp
Luna;2;83;Blanc;Femelle;true;Chat calme et câlin qui adore se prélasser au soleil;https://www.cesaretfelix.com/images/dossiers/2019-10/angora-turque-104238.jpg
Charlie;4;56;Gris;Mâle;true;Chien énergique qui adore courir dans le parc;https://www.labradorsdelatourfarmina.com/images/silver.jpg
Milo;1;84;Noir et blanc;Mâle;true;Chat curieux et espiègle qui grimpe partout;https://sweetpurrfections.com/wp-content/uploads/2024/07/picture-of-a-tuxedo-black-and-white-ragdoll-cat-1024x576.jpeg
Daisy;6;53;Beige;Femelle;true;Chien affectueux et tranquille parfait pour une maison calme;https://www.toutvert.fr/wp-content/uploads/2017/02/golden-retriever-650x366.jpg
Oscar;7;91;Roux;Mâle;true;Chat indépendant qui aime explorer les environs;https://lemagduchat.ouest-france.fr/images/dossiers/2018-06/europeen-4-104303.jpg
Coco;3;1;Noir et marron;Femelle;true;Chien sociable qui adore rencontrer d'autres chiens;https://www.helloanimaux.fr/wp-content/uploads/2021/01/race-chien-akita-americain-debout.jpg
Simba;2;88;Gris et blanc;Mâle;true;Chat joueur qui adore les jouets interactifs;https://ziggyfamily.com/cdn/shop/files/alimentation-chat-sacre-de-birmanie.png?v=1670233397&width=1000
Molly;4;70;Blanc et noir;Femelle;true;Chienne douce qui adore les câlins et se blottir;https://www.blogcanin.com/wp-content/uploads/2017/06/setter-anglais-1.jpg
Buddy;8;41;Marron;Mâle;true;Chien protecteur toujours attentif à son entourage;https://www.autourdesanimaux.com/wp-content/uploads/races/170/lg_cocker-anglais_6426d73016c94.webp
Chloe;5;90;Roux et blanc;Femelle;true;Chat câlin qui aime dormir près des fenêtres;https://lesanimauxdufutur.fr/wp-content/uploads/2023/10/pexels-valeria-boltneva-9443839-e1696326938152-768x512.jpg
Rocky;2;57;Noir et beige;Mâle;true;Chien actif parfait pour une vie en plein air;https://cdn.shopify.com/s/files/1/0265/1327/7008/files/leonberg.jpg?v=1715937125
Zoe;3;87;Gris;Femelle;true;Chat curieux qui adore observer les oiseaux depuis la fenêtre;https://www.peuple-animal.com/wp-content/uploads/2022/03/3161.800.jpg
Lucky;6;64;Blanc et noir;Mâle;true;Chien loyal toujours à côté de son maître;https://dogwebfr.b-cdn.net/wp-content/uploads/2024/03/image-de-l-eleveur-pomsky.webp
Leo;7;77;Noir et blanc;Mâle;true;Chien calme qui préfère rester près de sa famille;https://www.staffieboutique.com/wp-content/uploads/2024/02/ff14f9441282ab5abd91c9c450dd2224.jpg
Misty;4;91;Blanc et gris;Femelle;true;Chat timide mais affectueux une fois en confiance;https://www.apagi.fr/media/filer_public_thumbnails/filer_public/81/77/8177d653-b844-471e-a039-cd0b857e0f94/moorea-chat-femelle-europeen-gris-blanc-1.jpg__530x530_q85_subsampling-2.jpg
Rex;5;8;Marron;Mâle;true;Chien énergique qui aime les longues balades en forêt;https://www.assuropoil.fr/wp-content/uploads/2023/08/berger-allemand-1.jpg